"ig_name","name","followers","following","avg_likes","avg_comments","avg_engagements","est_er"
jefannathanio,Jefan Nathanio,283876,2099,17420.416666666668,725.0,18145.416666666668,6.39202210354756
febriihikaru,Febri |🇮🇩 Influencer,90138,1092,3646.0833333333335,43.083333333333336,3689.1666666666665,4.092798449784405
wilyalam,Wilya Carlina🌻,94177,3440,6790.5,9.333333333333334,6799.833333333333,7.220269634128644
gerickmanalo,Chef Gerick Manalo,101145,238,3517.0833333333335,23.416666666666668,3540.5,3.5004201888378073
donnavisca,Mutiara Donna Visca,144081,637,6623.083333333333,79.08333333333333,6702.166666666667,4.651665845369387
djmissyjay,Missy Jay,211770,1197,14259.25,159.58333333333334,14418.833333333334,6.808723300436008
mondeamore,,55329,3673,860.9166666666666,73.41666666666667,934.3333333333334,1.6886864633977359
maytonbacon,Mayton Eugenio 🔮,57623,1549,623.0,7.75,630.75,1.0946149974836437
nagawa.lvj,Nagawa 奈川,57788,132,2650.25,30.083333333333332,2680.3333333333335,4.638217853764334
limmariane,MARIANE LIM,61514,2589,858.9166666666666,47.0,905.9166666666666,1.4726999815760098
ditaloleeee,GUDANG KADO UNIK sf 20.000,61502,9,50.583333333333336,0.3333333333333333,50.916666666666664,0.0827886355999263
carlosdnobrega,Carlos Nóbrega,73386,40,5752.166666666667,0.9166666666666666,5753.083333333333,7.839483461877379
boofermin,Boo Fermin,74166,786,2011.75,37.916666666666664,2049.6666666666665,2.7636203471491876
therealsyai,Syaidatul Zulaikha™,78884,199,1682.4166666666667,3.6666666666666665,1686.0833333333333,2.137421192299241
gadgetmatch,GadgetMatch,78988,172,1054.0833333333333,14.583333333333334,1068.6666666666667,1.3529481271416752
miguelgione,Miguel Gione,80059,1660,3150.25,52.166666666666664,3202.4166666666665,4.000070781132248
_goldenboyyy,_goldenboiii,0,0,0,0,0,0
ridhwan332,Ridhwan,4,0,0,0,0,0
dipo8079,Dipo Dipo,0,0,0,0,0,0
muh.aldi8,MUH.ALDI,0,7,0,0,0,0
nicolemuhlach,Nicole Francesca Muhlach,57,236,0,0,0,0
yeah2740,Yeah,1,12,0,0,0,0
yesno765,yes,0,0,0,0,0,0
rinafitriani903,Rinafitriani,0,0,0,0,0,0
kamso81,KamSo,13,0,0,0,0,0
oioiiketan,Oioii Ketan,0,0,0,0,0,0
malam.nanti,Your 2am Thoughts,0,0,0,0,0,0
icaprimadiani,ICAPRIMADIANI,35,0,1.0,0.0,1.0,2.857142857142857
btsbon12,Bonbts,0,1,0,0,0,0
reynoldstefanusnani,Reynold Stefanus Nani,5,0,0,0,0,0
kurttan5,Kurt Kj Tan,3,0,0,0,0,0
angp0h6l,BastoRaven-_-,0,17,0,0,0,0
leiahcaerie,Leiah Caerry,0,1,0,0,0,0
adewatanabe,ade watanabe,0,0,0.0,0.0,0.0,0
suprapto1388,Suprapto R,0,0,0,0,0,0
asriwahidin39,Wahidin39#,5,7,0,0,0,0
testingjocel4,Test,0,0,0,0,0,0
allanrush1508,a'rush,11,14,1.0,0.5,1.5,13.636363636363635
hafihznasywa,hafihzputra@gmail.com,0,2,0,0,0,0
santrimoseng16,Fahry,11,20,2.0,0.0,2.0,18.181818181818183
yoyoleo550,leo-yoyo,0,0,0,0,0,0
ericcckr,erickr,0,1,0,0,0,0
evanialitison,Evania,0,0,0,0,0,0
tffandytffandy,TfFandy,0,1,0,0,0,0
alanparahiangan,alan parahiangan,0,0,0.0,0.0,0.0,0
dimas.genniuzz,Dimas Aprian,0,0,0,0,0,0
dillobudiwijaya7,DILLOBUDIWIJAYA,0,1,0,0,0,0
johniancruz,John Ian Cruz,0,3,0,0,0,0
irawan101202,Bbang Irawan,3,0,0,0,0,0
juanatyoyo,Juan Carlos,0,0,0,0,0,0
mollyyourshekhek,Mia Angelica Albano,0,0,1.0,0.0,1.0,inf
warnidahdoni,Warnidah,0,0,0,0,0,0
ellipa.kalb,El Lipa,0,7,0,0,0,0
aswift.telk,ASwift,2,6,0,0,0,0
usertrymmakmur,User Try Mmakmur,0,2,0.0,0.0,0.0,0
rahmah965,RAHMAH,5,0,0.0,0.0,0.0,0
mvchammad_fadhil_56,A.MUH.FADHIL ALFATIH,0,0,0,0,0,0
albertlazar48,Albert Lazar,0,0,0,0,0,0
jamaludin731,Ikhsan Jamaludin,29,85,0,0,0,0
indrawahyudi889,Indrawahyudi,2,2,0,0,0,0
lukman_slick,Lukman_Slick,0,2,0,0,0,0
bunder.budi,Budi bunder,0,57,1.0,1.0,2.0,inf
iamthatgirl001,Ella DelValle,41,7,0,0,0,0
hendry.sunaly,hendry sunaly,13,6,0,0,0,0
bangwtfkocak,Bang WTF Kocak In Game,3,3,0,0,0,0
narumi.izzaki94,Kazehaya,18,7,0,0,0,0
haikal_0272,Haikal_027,3,2,1.3333333333333333,0.6666666666666666,2.0,66.66666666666666
lely_izkandar,Leli Purnama Lestari,39,4,0,0,0,0
priagagah63,Suhendi Dimas,13,5,0,0,0,0
123_number,Monster,6,18,0,0,0,0
haerul57,Haerul,5,24,0,0,0,0
rivgemuyubae,M. Abi fbryn,11,20,0.0,0.0,0.0,0
didik405,didik santoso,7,95,0.0,0.0,0.0,0
madangkara9212018,Raden putra galantara,14,10,0,0,0,0
kii732,kii,6,9,0,0,0,0
riyan_g87,riyan,7,6,0.6666666666666666,0.3333333333333333,1.0,14.285714285714285
chie_chieh21,Cicih Ratnaswari,5,28,0,0,0,0
danidofcl404,Dan ID,21,22,6.0,3.0,9.0,42.857142857142854
lkmp86,,7,39,0,0,0,0
resaporto,Resouth,24,84,9.083333333333334,0.0,9.083333333333334,37.84722222222223
vivi.restiana,rina,9,9,0,0,0,0
supnetgt,@devera23,16,5,1.0,0.0,1.0,6.25
ayana.sakiye,Sakiye Ayana,14,0,0,0,0,0
pommerose_,trusted garage sale,11,27,0,0,0,0
fxdwirawan,Danny Wirawan,26,3,0,0,0,0
aldivatg19,Aldiva Dewaldo Tğ,14,2,1.75,0.25,2.0,14.285714285714285
ave.clean,AVE Clean,15,71,0.6666666666666666,0.0,0.6666666666666666,4.444444444444444
jerathetomato,nanijoojera,9,44,6.0,1.0,7.0,77.77777777777779
alfianbintang28,alfianbintang28,37,263,6.5,0.5,7.0,18.91891891891892
rasydu,Naka Rasydu,7,40,0,0,0,0
amrullah823,Amrullah,12,0,0.0,0.0,0.0,0
wilhamsubagdja21,wilhamsubagdja21,47,41,11.0,0.0,11.0,23.404255319148938
aminsumaryanto,Amin Sumaryanto,12,1,0.0,0.0,0.0,0
dwiprasetyo555,Dwi Prasetyo,12,4,0,0,0,0
mraihan_04,m raihan fr,13,34,0,0,0,0
herculesyason,yason Hercules,24,22,2.090909090909091,0.09090909090909091,2.1818181818181817,9.09090909090909
radityaamanta,Raditya Zeliq Amanta,21,62,1.0,0.0,1.0,4.761904761904762
tonggomoe,Tonggo Moe,15,16,2.3636363636363638,0.09090909090909091,2.4545454545454546,16.363636363636363
playersnoobs,Firman Sider Troops,14,2,0,0,0,0
bayu_prasetyo124,ROYAL CYBER,17,19,0,0,0,0
sofyan4820,Sofyan Sofyan,28,67,2.857142857142857,0.2857142857142857,3.142857142857143,11.224489795918368
hamid_alfintop_007,hamid,14,57,2.6,0.0,2.6,18.571428571428573
achmadianugraha,Achmad Dian Nugraha,15,4,0,0,0,0
rijzalbangkuy,Rijzal AvVenc Bangkuy,16,6,0.0,0.0,0.0,0
ysuf7499,ysuf,24,64,1.0,0.0,1.0,4.166666666666666
cybey_gunawan,mhmd_gunawan,14,67,2.0,0.0,2.0,14.285714285714285
jaenudinmz046,Jaenudin,13,30,1.0,1.0,2.0,15.384615384615385
anthonyandoyo4,Anthony Andoyo,19,22,1.6666666666666667,0.0,1.6666666666666667,8.771929824561404
error_app,Error APP,19,31,0.6666666666666666,0.3333333333333333,1.0,5.263157894736842
triansyah2018,TriansyahFz,18,1,0,0,0,0
rizkyziapasya,RIZKY ZIA PASYA,17,27,1.0,0.0,1.0,5.88235294117647
suryo.zulindra,Zulindra Suryosusilo,24,20,2.3333333333333335,0.6666666666666666,3.0,12.5
rezza3422,Re Z Za,19,0,0,0,0,0
mami7493,Mami,13,39,0,0,0,0
namasaya.sendiri,Dafid,16,45,2.111111111111111,0.0,2.111111111111111,13.194444444444445
teguh.hariyadi.7370,Teguh Hariyadi,27,22,1.0,0.0,1.0,3.7037037037037033
ridwanm39,Ridwan M,28,33,5.25,1.0,6.25,22.321428571428573
azmamhmmd,Mhmmd Alqi Azma,21,10,2.0,0.0,2.0,9.523809523809524
fudelly,Delly Fu,19,34,2.8,0.0,2.8,14.736842105263156
ppppp7036,ππ πππ ππ,24,52,1.0,0.0,1.0,4.166666666666666
zanofar_cuy,Nofar,26,134,5.333333333333333,0.5,5.833333333333333,22.435897435897434
peachlouiz,peachy,17,105,0,0,0,0
kuasdanpena,Kuas & Pena,23,4,8.583333333333334,0.25,8.833333333333334,38.40579710144928
airinmadina,Airin Madina,20,2,0,0,0,0
arifhidayat394,Arif Hidayat,16,68,3.0,0.5,3.5,21.875
haruka_lolipop,нαяυкα,23,20,1.3333333333333333,0.0,1.3333333333333333,5.797101449275361
alfarizi755,alfarizi saputra,26,86,2.75,0.0,2.75,10.576923076923077
chajirchajir,Chajir,20,2,0,0,0,0
star.duth,Jacky Moon,17,166,0,0,0,0
semartsoul,Tony,46,425,0,0,0,0
yudyphoo,Yudyphoo Phoo,23,146,0,0,0,0
sonnytotz,Anonymous,23,29,0,0,0,0
themeer087,ivan feby arya,24,75,3.3333333333333335,1.6666666666666667,5.0,20.833333333333336
bimbim_969,Bimbim,26,130,3.0,0.0,3.0,11.538461538461538
jeffompad,Jeff Ompad,23,10,5.0,1.0,6.0,26.08695652173913
fazza.arrantisi,Muhammad Fazza Arrantisi,52,32,10.0,2.0,12.0,23.076923076923077
tiarf7,TiarF,54,158,9.166666666666666,0.16666666666666666,9.333333333333334,17.28395061728395
re.ndy8085,RENDY,46,132,4.0,0.0,4.0,8.695652173913043
taukuttu_ka,imam tuk kekasih halalku,27,85,0.25,0.0,0.25,0.9259259259259258
cantiaga,Steelheart Cantiaga,24,79,1.0,0.0,1.0,4.166666666666666
andhikaseprin,andhika seprin deva,26,26,5.0,0.0,5.0,19.230769230769234
jtimbolnavarro,Timbol Chael John,25,19,1.5,0.0,1.5,6.0
jheck_889,jheck_88,28,185,0.8333333333333334,0.0,0.8333333333333334,2.9761904761904763
ratihraven,Ratih Raven,55,0,2.75,0.0,2.75,5.0
michaelolasimanmartinez,MICHAEL OLASIMAN MARTINEZ,23,328,6.25,0.25,6.5,28.26086956521739
johnlowep,John Lowe J. Paclita,28,18,2.6,0.4,3.0,10.714285714285714
masiprosesya,,23,5,0,0,0,0
rhudy_waruwu93,Rudi Waruwu,55,66,6.4,0.6,7.0,12.727272727272727
adincwo,adincwo,27,14,0,0,0,0
maulana_07akbr,Akbar_Maulana,299,198,19.88888888888889,4.555555555555555,24.444444444444443,8.175399479747306
bintangdewanto,Bintang Ednin Dewanto,32,41,0,0,0,0
mazstiv924,mazstiv,36,80,3.0,0.3333333333333333,3.3333333333333335,9.25925925925926
adiibalwell,Adii Balwell,44,74,8.0,0.0,8.0,18.181818181818183
iamhumanosorous,Railey Gavin Bernardino,132,171,8.666666666666666,0.6666666666666666,9.333333333333334,7.07070707070707
clu_store01,clu_store01,34,56,0.8333333333333334,0.0,0.8333333333333334,2.450980392156863
nkmcheng,Niña Cheng,29,11,0,0,0,0
anggota.ulama,putraragil,29,10,2.5,0.0,2.5,8.620689655172415
jamesrosselcajocson,James Rossel Libiran Cajocson,31,63,0.0,0.0,0.0,0
aldiabong,Aldi Abong,40,512,0,0,0,0
andriani9757,Novi Andriani,33,0,0,0,0,0
yzdakhmad,yzd akhmad,50,52,7.083333333333333,0.08333333333333333,7.166666666666667,14.333333333333332
lukman_sosial,Lukman,32,41,2.0,0.0,2.0,6.25
reffiharyanto,Reffi Haryanto,28,87,4.6,1.2,5.8,20.71428571428571
anggasaga_29,Angga saputra,40,38,5.285714285714286,0.0,5.285714285714286,13.214285714285715
jeffrimaulana17,Jeffri Maulana,34,46,3.1666666666666665,0.25,3.4166666666666665,10.049019607843137
nasthoasekwu,nastho,48,50,5.0,0.0,5.0,10.416666666666668
lamting5563,Lamting,41,155,2.111111111111111,0.0,2.111111111111111,5.149051490514905
mas.tedor,Mas Teledor,43,6,0,0,0,0
ferri563,ferri,36,203,3.2,0.6,3.8,10.555555555555557
asumakazuto,Kazuto Asuma,37,30,0.5833333333333334,0.08333333333333333,0.6666666666666666,1.801801801801802
marshall_fanderblitz,Marshall Fanderblitz,43,30,2.0,1.0,3.0,6.976744186046512
aji_waluyo_jati_,Aji Waluyo Jati,45,83,6.0,0.0,6.0,13.333333333333334
han_berto,NO SENIORITY,40,38,7.25,0.0,7.25,18.125
lilihomarugani89,Li Homaru Gani,38,2,0.75,0.0,0.75,1.9736842105263157
jastip.yukk,Jastip Yukk!,34,40,5.75,0.9166666666666666,6.666666666666667,19.607843137254903
dani.muharam.bdg,dani muharam,43,222,0.9166666666666666,0.16666666666666666,1.0833333333333333,2.5193798449612403
emang52,Herman Emang,52,40,0,0,0,0
